Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strains]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File	Position
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos204.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos204
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos205.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos205
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos206.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos206
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos207.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos207
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos208.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos208
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos209.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos209
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos210.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos210
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos211.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos211
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos212.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos212
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos213.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos213
